, ,2017,2016,2015,3-year average,School name,Country,Programme name,Salary today (US$)[1],Weighted salary (US$)[2],Salary percentage increase,Value[3],Career progress rank,Aims achieved[4],Careers service rank,Employment[5],Female faculty (%),Female students (%),Wom. board[6],Intl. faculty[7],Intl. students[8],Intl. board[9],Intl. mobility[10],Intl. course[11],Languages[12],PhD Faculty[13],Maximum course fee (local currency),Prog. length[14],Number enrolled 2016/17,Relevant degree,Internships[15]
76,,77.0,71,73,74,BI Norwegian Business School,Norway,MSc in Business,638025804.0,636185384.0,38.0,362.0,87.0,851.0,58.0,98 (97)2,27.0,43.0,5012.0,253.0,180.0,120.0,937.0,538.0,0.0,751.0,"NKr168,000",240.0,347.0,Yes,186.0
77,,78.0,-,-,-,Brunel Business School,UK,MSc in Management,44623.0,44623.0,61.0,93.0,28.0,88.0,48.0,n/a,34.0,58.0,25.0,56.0,94.0,0.0,48.0,87.0,0.0,95.0,15400,16.0,98.0,No,3.0
78,,79.0,74,61,71,University of Bradford School of Management,UK,MSc in Management,419903152.0,419903152.0,44.0,644.0,47.0,802.0,87.0,100 (40)6,44.0,43.0,291.0,285.0,834.0,433.0,2715.0,894.0,0.0,863.0,14950,120.0,86.0,No,0.0
79,,80.0,76,-,-,EM Strasbourg Business School,France,MSc in Management,494404359.0,495524259.0,38.0,5812.0,76.0,800.0,79.0,69 (75)15,59.0,53.0,283.0,231.0,132.0,2513.0,4222.0,2112.0,20.0,771.0,17000,360.0,441.0,No,1000.0
80,,81.0,67,76,75,Burgundy School of Business,France,Master in Management,480811919.0,478762296.0,31.0,767.0,83.0,770.0,62.0,92 (92)2,44.0,54.0,2421.0,406.0,221.0,228.0,617.0,259.0,20.0,756.0,19000,322.0,499.0,Yes,1000.0
81,,82.0,81,72,78,"University of Economics, Prague",Czech Republic,Master in Management,3835650.0,38542203.0,70.0,262.0,36.0,811.0,93.0,95 (82)0,45.0,56.0,200.0,72.0,190.0,350.0,684.0,631.0,10.0,852.0,"Kc97,200",280.0,402.0,No,96.0
82,,83.0,80,80,81,University of Exeter Business School,UK,MSc in International Management,481523263.0,481523263.0,43.0,5912.0,68.0,862.0,44.0,40 (14)40,34.0,51.0,1813.0,491.0,803.0,249.0,8019.0,853.0,0.0,864.0,19000,110.0,105.0,No,0.0
83,,84.0,-,-,-,ISCTE Business School,Portugal,MSc in Business Administration,39738.0,39738.0,48.0,22.0,73.0,83.0,55.0,75 (49),47.0,52.0,50.0,9.0,26.0,78.0,92.0,74.0,0.0,98.0,9800,23.0,61.0,No,0.0
84,,84.0,78,78,80,Politecnico di Milano School of Management,Italy,MSc in Management Engineering,441691491.0,42734590.0,55.0,272.0,18.0,761.0,43.0,96 (71)7,37.0,34.0,4110.0,92.0,273.0,5910.0,7218.0,656.0,0.0,772.0,6717,250.0,693.0,No,509.0
85,,86.0,86,-,-,DCU Business School,Ireland,MSc in Management,46013449.0,46013449.0,34.0,310.0,63.0,851.0,91.0,93 (75)11,49.0,28.0,420.0,132.0,442.0,170.0,518.0,894.0,0.0,800.0,14000,120.0,64.0,No,82.0
86,,87.0,82,-,-,Arizona State University: Carey,US,MSc in Management,565002350.0,565002350.0,40.0,536.0,95.0,762.0,74.0,51 (100)6,24.0,41.0,123.0,302.0,282.0,21.0,56.0,894.0,0.0,901.0,43682,90.0,39.0,No,0.0
87,,88.0,-,-,-,Alliance Manchester Business School,UK,MSc in Business Analysis and Strategic Management,437553141.0,437553141.0,40.0,855.0,33.0,811.0,63.0,73 (68)18,36.0,79.0,446.0,441.0,964.0,123.0,5310.0,862.0,0.0,901.0,21000,140.0,95.0,No,9191.0
88,,89.0,84,-,-,Tilburg University,Netherlands,MSc in International Management,558385900.0,558385900.0,33.0,175.0,42.0,762.0,95.0,77 (51)3,19.0,43.0,400.0,411.0,210.0,0.0,465.0,801.0,0.0,838.0,14000,140.0,98.0,Yes,169.0
89,,90.0,87,-,-,National Sun Yat-sen University,Taiwan,Master of Business Administration,412053708.0,412053708.0,30.0,375.0,80.0,805.0,64.0,89 (100)32,26.0,55.0,3824.0,91.0,54.0,386.0,8213.0,660.0,10.0,992.0,"NT$216,560",273.0,42.0,No,4141.0
90,,91.0,88,-,-,"Adam Smith Business School, University of Glasgow",UK,MSc in Management,338221500.0,338221500.0,59.0,955.0,61.0,824.0,42.0,100 (2)25,40.0,66.0,3023.0,600.0,972.0,1010.0,891.0,894.0,0.0,7313.0,19500,120.0,67.0,No,0.0
91,,92.0,78,77,82,ESC Clermont,France,Master in Management,47098866.0,469421023.0,32.0,624.0,89.0,770.0,72.0,83 (74)0,58.0,36.0,111.0,3410.0,217.0,0.0,591.0,514.0,20.0,684.0,23250,240.0,177.0,No,1000.0
92,,93.0,-,-,-,Nottingham Business School at NTU,UK,MSc in Management,32316.0,32316.0,30.0,87.0,57.0,82.0,25.0,87 (60),46.0,43.0,26.0,32.0,88.0,26.0,69.0,88.0,0.0,60.0,14250,13.0,150.0,No,100.0
93,,94.0,-,-,-,Luiss University,Italy,Master in Management,44827.0,44827.0,69.0,84.0,8.0,80.0,90.0,55 (67),26.0,45.0,33.0,11.0,10.0,89.0,73.0,55.0,0.0,49.0,20500,25.0,267.0,Yes,100.0
