, ,2016,2015,2014,Three-year average,School name,Country,Programme name,Salary today (US$)[1],Weighted sal. ($)[2],Value[3],Careers[4],Aims achieved[5],Placements[6],Employment[7],Wom. faculty[8],Wom. students[9],Wom. board[10],Intl. faculty[11],Intl. students[12],Intl. board[13],Intl. mobility[14],Intl. course[15],Languages[16],PhD Faculty[17],Maximum course fee (local currency),Prog. length[18],Number enrolled 2015/16,Relevant degree,Internships[19]
66,,67.0,76,-,-,Burgundy School of Business,France,Master in Management,461623048.0,455803319.0,6914.0,714.0,777.0,6019.0,90 (82)0,477.0,544.0,450.0,469.0,213.0,300.0,683.0,346.0,21.0,814.0,"€17,600",300.0,436.0,No,1000.0
67,,68.0,79,-,-,Aarhus BSS,Denmark,MSc in Economics and Business Administration,588044348.0,585064050.0,425.0,771.0,850.0,4417.0,66 (32)10,374.0,326.0,303.0,230.0,177.0,604.0,7016.0,7611.0,0.0,939.0,"€20,000",245.0,744.0,Yes,4724.0
68,,69.0,67,-,-,Hanken School of Economics,Finland,MSc in Economics and Business Administration,499821142.0,497431511.0,173.0,856.0,832.0,743.0,95 (87)3,382.0,496.0,6010.0,193.0,110.0,1010.0,7216.0,574.0,0.0,931.0,€240,271.0,364.0,No,524.0
69,,70.0,68,70,690,Corvinus University of Budapest,Hungary,MSc in Management and Leadership,454954693.0,454954693.0,512.0,6418.0,851.0,6929.0,95 (62)2,441.0,612.0,111.0,61.0,85.0,6123.0,522.0,507.0,1.0,801.0,"Ft1,580,000",210.0,236.0,No,1717.0
70,,71.0,73,67,700,BI Norwegian Business School,Norway,MSc in Business,579982265.0,582342552.0,383.0,693.0,862.0,5914.0,100 (94)4,250.0,499.0,620.0,284.0,180.0,120.0,869.0,6112.0,0.0,744.0,"NKr87,400",241.0,311.0,Yes,248.0
71,,72.0,74,62,691,Lancaster University Management School,UK,MSc in Management,38496896.0,38496896.0,747.0,751.0,891.0,2717.0,83 (58)7,313.0,642.0,385.0,543.0,893.0,5017.0,605.0,784.0,0.0,941.0,"£17,000",131.0,44.0,No,529.0
72,,73.0,75,68,721,Warsaw School of Economics,Poland,Master in Management,453744270.0,453744270.0,149.0,422.0,853.0,7314.0,100 (44)4,440.0,615.0,1156.0,10.0,132.0,110.0,762.0,723.0,10.0,951.0,Zloty 0,230.0,318.0,No,2460.0
73,,74.0,61,59,6510,University of Bradford School of Management,UK,MSc in Management,388386717.0,388386717.0,606.0,7318.0,825.0,6115.0,94 (55)5,453.0,5115.0,303.0,332.0,879.0,405.0,4217.0,8514.0,0.0,832.0,"£14,500",120.0,82.0,No,0.0
74,,75.0,70,55,6710,Alliance Manchester Business School,UK,MSc in International Business and Management,468964466.0,468964466.0,8014.0,7922.0,822.0,811.0,91 (48)3,371.0,4711.0,380.0,434.0,921.0,150.0,4310.0,847.0,0.0,893.0,"£19,500",141.0,118.0,No,0.0
75,,76.0,-,-,-,EM Strasbourg Business School,France,MSc in Management,45081.0,45293.0,70.0,66.0,80.0,82.0,84 (56),55.0,54.0,25.0,22.0,15.0,12.0,20.0,33.0,2.0,76.0,"€8,500",36.0,386.0,No,100.0
76,,77.0,58,-,-,IQS/FJU/USF,"Spain, Taiwan, US",Master in Global Entrepreneurship Management,543166284.0,543166284.0,8927.0,782.0,865.0,7712.0,65 (49)65,219.0,490.0,2149.0,949.0,813.0,70.0,155.0,288.0,0.0,6424.0,"€26,000",120.0,37.0,No,1000.0
77,,78.0,77,-,-,ESC Clermont,France,Master in Management,462321247.0,459191355.0,587.0,3717.0,773.0,589.0,83 (81)4,582.0,410.0,1213.0,443.0,141.0,8.0,5818.0,5511.0,20.0,720.0,"€23,250",240.0,92.0,No,1000.0
78,,78.0,78,63,735,Politecnico di Milano School of Management,Italy,MSc in Management Engineering,42678792.0,421441326.0,292.0,509.0,776.0,2815.0,89 (77)8,356.0,354.0,312.0,118.0,307.0,694.0,5434.0,5916.0,0.0,798.0,"€6,717",250.0,601.0,No,410.0
79,,80.0,80,-,-,University of Exeter Business School,UK,MSc in International Management,448895717.0,448895717.0,718.0,5211.0,842.0,6312.0,80 (19)11,324.0,602.0,312.0,481.0,833.0,159.0,618.0,823.0,0.0,824.0,"£18,500",110.0,121.0,No,0.0
80,,81.0,72,69,745,"University of Economics, Prague",Czech Republic,Business Administration and Management,38306905.0,387451173.0,281.0,615.0,820.0,795.0,95 (91)2,3810.0,565.0,201.0,91.0,190.0,352.0,646.0,620.0,10.0,831.0,"€3,600",280.0,421.0,No,152.0
81,,82.0,-,-,-,Arizona State University: Carey,US,MSc in Management,54150.0,54150.0,47.0,88.0,78.0,41.0,57 (92),25.0,56.0,9.0,28.0,30.0,1.0,11.0,85.0,0.0,91.0,"$43,682",9.0,43.0,No,0.0
82,,83.0,71,58,7111,University of Bath School of Management,UK,MSc in Management,402042930.0,402042930.0,8810.0,8725.0,823.0,7826.0,95 (79)3,344.0,706.0,314.0,651.0,764.0,3122.0,665.0,799.0,0.0,981.0,"£18,500",122.0,94.0,No,0.0
83,,84.0,-,-,-,Tilburg University,Netherlands,MSc in International Management,49938.0,49938.0,12.0,83.0,74.0,86.0,80 (51),20.0,48.0,40.0,40.0,21.0,0.0,51.0,81.0,0.0,91.0,"€13,000",14.0,66.0,Yes,7.0
84,,85.0,-,-,-,Aston Business School,UK,MSc International Business,53095.0,53095.0,52.0,84.0,81.0,71.0,86 (38),36.0,61.0,21.0,41.0,84.0,29.0,62.0,71.0,0.0,74.0,"£17,350",12.0,57.0,No,5.0
85,,86.0,-,-,-,DCU Business School,Ireland,MSc in Management,45564.0,45564.0,31.0,89.0,84.0,89.0,82 (87),49.0,54.0,42.0,15.0,46.0,17.0,59.0,85.0,0.0,80.0,"€13,400",12.0,65.0,No,82.0
86,,87.0,-,-,-,National Sun Yat-sen University,Taiwan,Master of Business Administration,37497.0,37497.0,32.0,72.0,85.0,83.0,57 (53),26.0,49.0,14.0,8.0,9.0,32.0,69.0,66.0,1.0,97.0,"NT$166,320",24.0,45.0,No,0.0
87,,88.0,-,-,-,"Adam Smith Business School, University of Glasgow",UK,MSc in Management,32322.0,32322.0,90.0,60.0,86.0,70.0,75 (2),40.0,64.0,7.0,60.0,99.0,0.0,88.0,85.0,0.0,86.0,"£18,900",12.0,281.0,No,0.0
88,,89.0,-,-,-,Henley Business School,UK,MSc in Management,48456.0,48456.0,44.0,90.0,79.0,90.0,78 (23),47.0,66.0,36.0,48.0,84.0,29.0,75.0,85.0,0.0,88.0,"£19,200",12.0,99.0,No,0.0
89,,90.0,-,-,-,Southwestern University of Finance and Economics,China,Master in Management,24406.0,24406.0,27.0,26.0,72.0,85.0,98 (100),34.0,72.0,0.0,4.0,14.0,31.0,90.0,80.0,1.0,91.0,"Rmb10,000",34.0,71.0,No,99.0
